Run Name,Mean AP,Mean P@10,Mean NCDG@10,Mean NDCG@1000,Mean TBG,
student1,0.250,0.282,0.728,0.584,7.398,
student2,0.141,0.193,0.686,0.515,5.106,
student3,0.099,0.158,0.629,0.417,6.409,
student4,0.202,0.244,0.746,0.548,6.366,
student5,0.224,0.256,0.713,0.554,7.724,
student6,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,
student7,0.107,0.153,0.654,0.443,4.588,
student8,0.213,0.260,0.736,0.562,6.333,
student9,0.139,0.204,0.676,0.494,5.798,
student10,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,
student11,0.137,0.167,0.737,0.462,5.715,
student12,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,BAD FORMAT,
student13,0.073,0.084,0.557,0.392,3.404,
student14,0.200,0.250,0.708,0.546,5.481,
mSmuckerAND,0.105,0.155,0.652,0.573,2.294,
